year_end,dt,gst,fed,customs,gdp,gdp_nonagr,lsm,imports,dutiable_imports,exrate,inflation,consumption,covid,regime,step_2024,dummy_2024,dummy_2025,log_dt,log_gst,log_fed,log_customs,log_gdp,log_gdp_nonagr,log_lsm,log_imports,log_dutiable_imports,log_consumption,log_exrate
2006,224988.0,294798,55272.0,138384.0,9349897.64368825,7439559.53538301,974869.800108058,1711158,1052837,59.587463833333345,9.0811006645,7680000000000,0,0,0,0,0,12.32380234643095,12.59404565501379,10.920021730168632,11.837787708546292,16.050875954005832,15.822322202823287,13.790059202712236,14.352680892269596,13.86699898331254,29.669640663088128,4.087445213580197
2007,333737.0,309396,71804.0,132299.0,10514772.515333647,8347292.752342609,1125729.5696672357,1851806,1010603,60.27194841666667,7.91684051,8690000000000,0,0,0,0,0,12.718108536627113,12.64237728878931,11.18169546379096,11.792819791495493,16.168291732584738,15.937447822979623,13.933941889802146,14.431671937081557,13.826057740369084,29.79319405520585,4.0988667951069155
2008,387861.0,377430,92137.0,150663.0,12105664.85522347,9530141.074868813,1471028.4457427636,2512072,1283696,60.726226583333336,7.584252937916666,10000000000000,0,0,0,0,0,12.868402306996792,12.841140400013286,11.431031878810726,11.92280083356694,16.309184070862838,16.069970078759937,14.20147233708713,14.736618468579849,14.06525397507533,29.933606208922594,4.106375673668732
2009,443548.3,451744,117455.0,148403.0,15021118.06204788,11794490.706780586,1540253.986693156,2723570,1337629,70.62315475000001,15.873064443333334,11700000000000,0,0,0,0,0,13.002561981228052,13.020870926683926,11.673810560487865,11.907686825144507,16.524967639748777,16.283143091153285,14.247457887215072,14.817454077696976,14.106409201699563,30.09060995773226,4.257358061691649
2010,525977.1,516348,124784.1,160272.7,16918474.18613107,13194016.128294455,1774337.6523616249,2910975,1333709,81.57894733333335,8.677306792166666,13400000000000,0,0,0,0,0,13.17301295465045,13.154536235750323,11.73434032295475,11.98463201841713,16.643916729951417,16.39527396116033,14.388937757653439,14.883998634576832,14.103474340731978,30.226275822885412,4.401571230316745
2011,602451.0,633357,137353.0,184853.0,20798383.100013837,15856446.127290975,2314710.2069088975,3455287,1521329,85.115576,12.893630798333334,15000000000000,0,0,0,0,0,13.308761613238833,13.35878952319143,11.830309533294352,12.127316193608252,16.85038580607372,16.57908667133741,14.654795057065819,15.055416079751316,14.235094852913322,30.339071317030758,4.444010050558445
2012,738424.0,804899,122464.0,216906.0,22812691.465866845,17698206.568763446,2549522.335281264,4009093,1600186,86.27575216666666,11.969034292916666,17900000000000,0,0,0,0,0,13.512273464351138,13.598472082690694,11.715572388225429,12.287219358949654,16.94282758229606,16.68897386861178,14.751416580090577,15.204075589160517,14.285630430453502,30.51582182877526,4.457548587191982
2013,743409.0,842528,120964.0,239459.0,25474625.81506609,19733993.870817557,2718554.821093675,4349880,1652823,93.28648366666665,9.726712639166667,20600000000000,0,0,0,0,0,13.519001643309535,13.644162175077767,11.70324825964967,12.386137491199307,17.0531934486459,16.797853283809232,14.815610981299553,15.285658816477463,14.317995293029972,30.656312191724084,4.5356752277624
2014,877255.0,996382,138084.0,242811.0,28641816.927122775,22211185.895987652,3048171.7837612964,4630521,1778444,101.50806016666667,7.679827676999999,22900000000000,0,0,0,0,0,13.684552993058743,13.811885997172865,11.835617474611459,12.400038641918844,17.17037833823731,16.916106589131687,14.930052553702275,15.34817994672957,14.391249382666592,30.76215802648874,4.620138205838026
2015,1033720.0,1087790,162248.0,306220.0,31229850.286932684,24196740.720046982,3079208.6117633595,4644152,2703371,100.95253724999999,7.230070818833333,25800000000000,0,1,0,0,0,13.848674504342707,13.899658673062406,11.996881307833968,12.632059076859086,17.25688493536153,17.00172850106682,14.940183177701257,15.351119351669114,14.810010070741953,30.88139560785612,4.614650478172568
